Atheism is a,9228,26587,0.347086922
is a non,2190373,476718990,0.004594684
a non prophet,103,13466606,7.65E-06
non prophet organization,1,239,0.0041841
I get my,657848,16498353,0.039873556
get my large,309,3878202,7.97E-05
my large circumference,1,58134,1.72E-05
large circumference from,1,1012,0.000988142
circumference from too,1,1768,0.000565611
from too much,58261,136605,0.426492442
too much pi,1,16705964,5.99E-08
Bakers trade bread,697,709,0.983074753
trade bread recipes,695,769,0.903771131
bread recipes on,1401,30743,0.04557135
recipes on a,2458,135285,0.018169051
on a knead,754,167105962,4.51E-06
a knead to,340,886,0.383747178
knead to know,358,2481,0.144296655
to know basis,16178,39754084,0.000406952
The indecisive rower,1,638,0.001567398
indecisive rower could,1,1,1
rower could not,1,143,0.006993007
could not choose,18984,43613358,0.000435279
not choose either,1411,690575,0.002043225
choose either oar,1,156845,6.38E-06
It was an,1168597,58039544,0.020134497
was an emotional,29105,15778143,0.00184464
an emotional wedding,83,762107,0.000108909
emotional wedding Even,1,406,0.002463054
wedding Even the,1,1,1
Even the cake,226,2823731,8.00E-05
the cake was,20409,852676,0.023935234
cake was in,856,65826,0.01300398
was in tiers,221,23793684,9.29E-06
A new country,2660,9441099,0.000281747
new country decided,1,231586,4.32E-06
country decided to,2663,4357,0.611200367
decided to conduct,30388,17996838,0.001688519
to conduct a,1056379,6034363,0.175060566
conduct a flag,159,2268548,7.01E-05
a flag poll,45,718118,6.27E-05
At some executive,1,811965,1.23E-06
some executive meetings,1,8894,0.000112435
executive meetings there,1,15652,6.39E-05
meetings there is,1701,17033,0.099864968
there is a,31341553,110560376,0.283479074
is a chairman,1559,476718990,3.27E-06
a chairman of,15524,95645,0.162308537
chairman of the,2534972,3457275,0.733228337
of the bored,4403,2766332391,1.59E-06
Did you know,7068552,16922110,0.41771103
you know that,3898180,45720613,0.085260887
know that donuts,1,26949874,3.71E-08
that donuts were,43,418,0.102870813
donuts were first,1,2330,0.000429185
were first made,17114,1005349,0.017022944
first made in,18212,257210,0.070805956
made in Greece?,3124,12663593,0.000246691
I always prayed,1051,5539983,0.000189712
always prayed before,192,5972,0.032150033
prayed before my,1,11295,8.85E-05
before my trigonometry,1,894559,1.12E-06
my trigonometry tests,1,308,0.003246753
trigonometry tests I,1,41,0.024390244
tests I was,1737,48956,0.03548084
I was hoping,753207,106686995,0.00705997
was hoping for,191932,1026334,0.187007348
hoping for a,294869,1008589,0.292357938
for a sine,1374,274112498,5.01E-06
a sine from,1,89879,1.11E-05
sine from above,1,486,0.002057613
It was not,3851564,58039544,0.066361031
was not school,1075,67427798,1.59E-05
not school john,1,27747,3.60E-05
school john disliked,1,2115,0.000472813
john disliked It,1,1,1
disliked It was,1,1,1
It was just,776763,58039544,0.013383341
was just the,416019,10595030,0.039265486
