uniqueID,h1_trigram,h2_trigram,h1_prob,h2Prob,dummy
1,Atheism is a,Atheism is a,0.347086922,0.347086922,1
1,is a non,is a non,0.004594684,0.004594684,1
1,a non prophet,a non profit,7.65E-06,0.008212017,1
1,non prophet organization,non profit organization,0.0041841,0.186085554,1
2,I get my,I get my,0.039873556,0.039873556,1
2,get my large,get my large,7.97E-05,7.97E-05,1
2,my large circumference,my large circumference,1.72E-05,1.72E-05,1
2,large circumference from,large circumference from,0.000988142,0.000988142,1
2,circumference from too,circumference from too,0.000565611,0.000565611,1
2,from too much,from too much,0.426492442,0.426492442,1
2,too much pi,too much pie,5.99E-08,3.02E-05,1
3,Bakers trade bread,Bakers trade bread,0.983074753,0.983074753,1
3,trade bread recipes,trade bread recipes,0.903771131,0.903771131,1
3,bread recipes on,bread recipes on,0.04557135,0.04557135,1
3,recipes on a,recipes on a,0.018169051,0.018169051,1
3,on a knead,on a need,4.51E-06,0.000354314,1
3,a knead to,a need to,0.383747178,0.386157222,1
3,knead to know,need to know,0.144296655,0.04996604,1
3,to know basis,to know basis,0.000406952,0.000406952,1
4,The indecisive rower,The indecisive rower,0.001567398,0.001567398,1
4,indecisive rower could,indecisive rower could,1,1,1
4,rower could not,rower could not,0.006993007,0.006993007,1
4,could not choose,could not choose,0.000435279,0.000435279,1
4,not choose either,not choose either,0.002043225,0.002043225,1
4,choose either oar,choose either or,6.38E-06,0.006624374,1
5,It was an,It was an,0.020134497,0.020134497,1
5,was an emotional,was an emotional,0.00184464,0.00184464,1
5,an emotional wedding,an emotional wedding,0.000108909,0.000108909,1
5,emotional wedding Even,emotional wedding Even,0.002463054,0.002463054,1
5,wedding Even the,wedding Even the,1,1,1
5,Even the cake,Even the cake,8.00E-05,8.00E-05,1
5,the cake was,the cake was,0.023935234,0.023935234,1
5,cake was in,cake was in,0.01300398,0.01300398,1
5,was in tiers,was in tears,9.29E-06,0.001616521,1
6,A new country,A new country,0.000281747,0.000281747,1
6,new country decided,new country decided,4.32E-06,4.32E-06,1
6,country decided to,country decided to,0.611200367,0.611200367,1
6,decided to conduct,decided to conduct,0.001688519,0.001688519,1
6,to conduct a,to conduct a,0.175060566,0.175060566,1
6,conduct a flag,conduct a flag,7.01E-05,7.01E-05,1
6,a flag poll,a flag pole,6.27E-05,0.016586411,1
7,At some executive,At some executive,1.23E-06,1.23E-06,1
7,some executive meetings,some executive meetings,0.000112435,0.000112435,1
7,executive meetings there,executive meetings there,6.39E-05,6.39E-05,1
7,meetings there is,meetings there is,0.099864968,0.099864968,1
7,there is a,there is a,0.283479074,0.283479074,1
7,is a chairman,is a chairman,3.27E-06,3.27E-06,1
7,a chairman of,a chairman of,0.162308537,0.162308537,1
7,chairman of the,chairman of the,0.733228337,0.733228337,1
7,of the bored,of the board,1.59E-06,0.000906885,1
8,Did you know,Did you know,0.41771103,0.41771103,1
8,you know that,you know that,0.085260887,0.085260887,1
8,know that donuts,know that donuts,3.71E-08,3.71E-08,1
8,that donuts were,that donuts were,0.102870813,0.102870813,1
8,donuts were first,donuts were first,0.000429185,0.000429185,1
8,were first made,were first made,0.017022944,0.017022944,1
8,first made in,first made in,0.070805956,0.070805956,1
8,made in Greece?,made in grease?,0.000246691,7.90E-08,1
9,I always prayed,I always prayed,0.000189712,0.000189712,1
9,always prayed before,always prayed before,0.032150033,0.032150033,1
9,prayed before my,prayed before my,8.85E-05,8.85E-05,1
9,before my trigonometry,before my trigonometry,1.12E-06,1.12E-06,1
9,my trigonometry tests,my trigonometry tests,0.003246753,0.003246753,1
9,trigonometry tests I,trigonometry tests I,0.024390244,0.024390244,1
9,tests I was,tests I was,0.03548084,0.03548084,1
9,I was hoping,I was hoping,0.00705997,0.00705997,1
9,was hoping for,was hoping for,0.187007348,0.187007348,1
9,hoping for a,hoping for a,0.292357938,0.292357938,1
9,for a sine,for a sign,5.01E-06,0.00028678,1
9,a sine from,a sign from,1.11E-05,0.013201928,1
9,sine from above,sign from above,0.002057613,0.025008522,1
10,It was not,It was not,0.066361031,0.066361031,1
10,was not school,was not school,1.59E-05,1.59E-05,1
10,not school john,not school john,3.60E-05,3.60E-05,1
10,school john disliked,school john disliked,0.000472813,0.000472813,1
10,john disliked It,john disliked It,1,1,1
10,disliked It was,disliked It was,1,1,1
10,It was just,It was just,0.013383341,0.013383341,1
10,was just the,was just the,0.039265486,0.039265486,1
10,just the principal,just the principle,0.000103273,0.000160723,1
10,the principal of,the principle of,0.051025396,0.59200824,1
10,principal of it,principle of it,0.000711056,0.001213888,1
11,Some music stores,Some music stores,0.001629494,0.001629494,1
11,music stores are,music stores are,0.010558069,0.010558069,1
11,stores are in,stores are in,0.004270537,0.004270537,1
11,are in a,are in a,0.062256934,0.062256934,1
11,in a CD,in a seedy,0.000183862,4.05E-05,1
11,a CD part,a seedy part,1.77E-05,0.030030785,1
11,CD part of,seedy part of,0.215048976,0.962860118,1
11,part of town,part of town,0.00152454,0.00152454,1
12,The magician got,The magician got,2.68E-05,2.68E-05,1
12,magician got so,magician got so,0.006493506,0.006493506,1
12,got so mad,got so mad,0.016563766,0.016563766,1
12,so mad he,so mad he,0.017281965,0.017281965,1
12,mad he pulled,mad he pulled,0.000107793,0.000107793,1
12,he pulled his,he pulled his,0.080031169,0.080031169,1
12,pulled his hare,pulled his hair,4.27E-06,0.009617602,1
12,his hare out,his hair out,0.001177856,0.016072297,1
13,The young pine,The young pine,4.83E-05,4.83E-05,1
13,young pine sapling,young pine sapling,0.000213858,0.000213858,1
13,pine sapling was,pine sapling was,0.001531394,0.001531394,1
13,sapling was admonished,sapling was admonished,0.001106195,0.001106195,1
13,was admonished by,was admonished by,0.287894787,0.287894787,1
13,admonished by his,admonished by his,0.046040268,0.046040268,1
13,by his father,by his father,0.027976248,0.027976248,1
13,his father Apparently,his father Apparently,1.76E-07,1.76E-07,1
13,father Apparently he,father Apparently he,1,1,1
13,Apparently he had,Apparently he had,0.101382405,0.101382405,1
13,he had been,he had been,0.086680985,0.086680985,1
13,had been knotty,had been naughty,2.11E-08,2.62E-05,1
14,To learn rope,To learn rope,2.07E-07,2.07E-07,1
14,learn rope tricks,learn rope tricks,0.133333333,0.133333333,1
14,rope tricks you,rope tricks you,0.010490978,0.010490978,1
14,tricks you have,tricks you have,0.031936918,0.031936918,1
14,you have to,you have to,0.105529247,0.105529247,1
